base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,timezone,visibility,weather,wind
stations,{'all': 57},200,"{'lon': -159.78, 'lat': -21.21}",1562253015.0,4035715.0,"{'temp': 292.15, 'pressure': 1021, 'humidity': 82, 'temp_min': 292.15, 'temp_max': 292.15}",,Avarua,,,"{'type': 1, 'id': 7271, 'message': 0.0093, 'country': 'CK', 'sunrise': 1562260627, 'sunset': 1562299776}",-36000.0,10000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 1.5, 'deg': 140}"
stations,{'all': 100},200,"{'lon': 7.07, 'lat': 5.43}",1562253015.0,2337542.0,"{'temp': 300.039, 'pressure': 1009.91, 'humidity': 79, 'temp_min': 300.039, 'temp_max': 300.039, 'sea_level': 1009.91, 'grnd_level': 1000.18}",,Naze,,,"{'message': 0.0057, 'country': 'NG', 'sunrise': 1562217783, 'sunset': 1562262523}",3600.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 4.05, 'deg': 240.853}"
stations,{'all': 90},200,"{'lon': -155.08, 'lat': 19.71}",1562253016.0,5855927.0,"{'temp': 293.46, 'pressure': 1014, 'humidity': 88, 'temp_min': 292.04, 'temp_max': 296.15}",,Hilo,{'1h': 0.76},,"{'type': 1, 'id': 7881, 'message': 0.007, 'country': 'US', 'sunrise': 1562255156, 'sunset': 1562302991}",-36000.0,4828.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]","{'speed': 2.1, 'deg': 40}"
stations,{'all': 83},200,"{'lon': 115.35, 'lat': -33.64}",1562253016.0,2075265.0,"{'temp': 283.12, 'pressure': 1003, 'humidity': 98, 'temp_min': 282.04, 'temp_max': 284.82}",,Busselton,{'3h': 0.688},,"{'type': 3, 'id': 2011706, 'message': 0.0068, 'country': 'AU', 'sunrise': 1562196216, 'sunset': 1562232109}",28800.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 13.36, 'deg': 227.806}"
stations,{'all': 40},200,"{'lon': 40.07, 'lat': 1.75}",1562253016.0,178443.0,"{'temp': 307.15, 'pressure': 1009, 'humidity': 30, 'temp_min': 307.15, 'temp_max': 307.15}",,Wajir,,,"{'type': 1, 'id': 2571, 'message': 0.0077, 'country': 'KE', 'sunrise': 1562210238, 'sunset': 1562254226}",10800.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 6.2, 'deg': 170}"
stations,{'all': 40},200,"{'lon': 9.77, 'lat': 1.87}",1562253016.0,2310046.0,"{'temp': 301.15, 'pressure': 1011, 'humidity': 78, 'temp_min': 301.15, 'temp_max': 301.15}",,Bata,,,"{'type': 1, 'id': 2047, 'message': 0.0073, 'country': 'GQ', 'sunrise': 1562217499, 'sunset': 1562261511}",3600.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 1.5, 'deg': 160}"
stations,{'all': 0},200,"{'lon': 88.39, 'lat': 69.49}",1562253016.0,1490256.0,"{'temp': 295.15, 'pressure': 1009, 'humidity': 64, 'temp_min': 295.15, 'temp_max': 295.15}",,Talnakh,,,"{'type': 1, 'id': 8951, 'message': 0.007, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",25200.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 5, 'deg': 40}"
stations,{'all': 0},200,"{'lon': 0.71, 'lat': 49.65}",1562253016.0,3031871.0,"{'temp': 299.45, 'pressure': 1022, 'humidity': 34, 'temp_min': 296.15, 'temp_max': 302.04}",,Veraval,,,"{'type': 1, 'id': 6536, 'message': 0.0059, 'country': 'FR', 'sunrise': 1562212535, 'sunset': 1562270824}",7200.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.1, 'deg': 30}"
stations,{'all': 75},200,"{'lon': -91.32, 'lat': 14.4}",1562253017.0,3590804.0,"{'temp': 296.36, 'pressure': 1013, 'humidity': 65, 'temp_min': 291.48, 'temp_max': 301.15}",,Rio Bravo,,,"{'type': 1, 'id': 7068, 'message': 0.0061, 'country': 'GT', 'sunrise': 1562240452, 'sunset': 1562287087}",-21600.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 1.06, 'deg': 237.914}"
stations,{'all': 88},200,"{'lon': -60.23, 'lat': -38.31}",1562253017.0,3833859.0,"{'temp': 278.639, 'pressure': 1019.54, 'humidity': 71, 'temp_min': 278.639, 'temp_max': 278.639, 'sea_level': 1019.54, 'grnd_level': 1008.18}",,Barrow,{'3h': 0.5},,"{'message': 0.0074, 'country': 'AR', 'sunrise': 1562239091, 'sunset': 1562273522}",-10800.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 8.34, 'deg': 228.233}"
stations,{'all': 100},200,"{'lon': 19.24, 'lat': -34.42}",1562253017.0,3366880.0,"{'temp': 290.44, 'pressure': 1013, 'humidity': 61, 'temp_min': 288.71, 'temp_max': 292.59}",,Hermanus,,,"{'type': 3, 'id': 2006131, 'message': 0.0063, 'country': 'ZA', 'sunrise': 1562219398, 'sunset': 1562255066}",7200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 4.02, 'deg': 298, 'gust': 8.05}"
stations,{'all': 96},200,"{'lon': 145.57, 'lat': 43.32}",1562253017.0,2128975.0,"{'temp': 284.639, 'pressure': 1008.21, 'humidity': 96, 'temp_min': 284.639, 'temp_max': 284.639, 'sea_level': 1008.21, 'grnd_level': 1007.73}",,Nemuro,,,"{'message': 0.0056, 'country': 'JP', 'sunrise': 1562265775, 'sunset': 1562320864}",32400.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 4.66, 'deg': 43.392}"
stations,{'all': 40},200,"{'lon': -87.28, 'lat': 33.83}",1562252961.0,4069659.0,"{'temp': 302.12, 'pressure': 1020, 'humidity': 58, 'temp_min': 300.15, 'temp_max': 303.71}",,Jasper,,,"{'type': 1, 'id': 3658, 'message': 0.0092, 'country': 'US', 'sunrise': 1562236984, 'sunset': 1562288615}",-18000.0,16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 1.55, 'deg': 279.912}"
stations,{'all': 90},200,"{'lon': -45.44, 'lat': -23.68}",1562253017.0,6322184.0,"{'temp': 291.15, 'pressure': 1016, 'humidity': 93, 'temp_min': 291.15, 'temp_max': 291.15}",,Porto Novo,,,"{'type': 1, 'id': 8434, 'message': 0.0064, 'country': 'BR', 'sunrise': 1562233478, 'sunset': 1562272036}",-10800.0,4000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 2.6, 'deg': 120}"
stations,{'all': 40},200,"{'lon': -134.97, 'lat': -23.12}",1562253017.0,4030556.0,"{'temp': 292.239, 'pressure': 1019.19, 'humidity': 69, 'temp_min': 292.239, 'temp_max': 292.239, 'sea_level': 1019.19, 'grnd_level': 1018.99}",,Rikitea,,,"{'message': 0.007, 'country': 'PF', 'sunrise': 1562254898, 'sunset': 1562293595}",-32400.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 10.38, 'deg': 141.264}"
stations,{'all': 75},200,"{'lon': -34.84, 'lat': -6.97}",1562253017.0,3404558.0,"{'temp': 301.15, 'pressure': 1015, 'humidity': 78, 'temp_min': 301.15, 'temp_max': 301.15}",,Cabedelo,,,"{'type': 1, 'id': 8391, 'message': 0.0053, 'country': 'BR', 'sunrise': 1562229105, 'sunset': 1562271320}",-10800.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 4.1, 'deg': 150}"
stations,{'all': 73},200,"{'lon': 74.57, 'lat': 13.97}",1562253018.0,1276067.0,"{'temp': 300.439, 'pressure': 1008.54, 'humidity': 86, 'temp_min': 300.439, 'temp_max': 300.439, 'sea_level': 1008.54, 'grnd_level': 1003.06}",,Bhatkal,{'3h': 4.188},,"{'message': 0.0065, 'country': 'IN', 'sunrise': 1562200678, 'sunset': 1562247224}",19800.0,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]","{'speed': 5.19, 'deg': 229.886}"
stations,{'all': 37},200,"{'lon': 22.9, 'lat': 56.47}",1562253018.0,461336.0,"{'temp': 288.139, 'pressure': 1010.25, 'humidity': 55, 'temp_min': 288.139, 'temp_max': 288.139, 'sea_level': 1010.25, 'grnd_level': 998.51}",,Auce,{'3h': 0.125},,"{'message': 0.0055, 'country': 'LV', 'sunrise': 1562204728, 'sunset': 1562267978}",10800.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 6, 'deg': 250.686}"
stations,{'all': 92},200,"{'lon': -69.36, 'lat': 77.48}",1562253018.0,3831208.0,"{'temp': 279.439, 'pressure': 1024.01, 'humidity': 55, 'temp_min': 279.439, 'temp_max': 279.439, 'sea_level': 1024.01, 'grnd_level': 985.23}",,Qaanaaq,,,"{'message': 0.0091, 'country': 'GL', 'sunrise': 0, 'sunset': 0}",-10800.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 0.65, 'deg': 186.917}"
stations,{'all': 0},200,"{'lon': -68.31, 'lat': -54.81}",1562253018.0,3833367.0,"{'temp': 268.01, 'pressure': 1016, 'humidity': 92, 'temp_min': 267.15, 'temp_max': 269.15}",,Ushuaia,,,"{'type': 1, 'id': 8303, 'message': 0.0078, 'country': 'AR', 'sunrise': 1562245008, 'sunset': 1562271485}",-10800.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.6, 'deg': 340}"
stations,{'all': 90},200,"{'lon': -68.59, 'lat': 70.47}",1562253018.0,5924351.0,"{'temp': 276.15, 'pressure': 1020, 'humidity': 93, 'temp_min': 276.15, 'temp_max': 276.15}",,Clyde River,,,"{'type': 1, 'id': 776, 'message': 0.007, 'country': 'CA', 'sunrise': 0, 'sunset': 0}",-14400.0,32186.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 2.6, 'deg': 30}"
stations,{'all': 40},200,"{'lon': -114.38, 'lat': 62.45}",1562253018.0,6185377.0,"{'temp': 286.05, 'pressure': 1020, 'humidity': 76, 'temp_min': 285.93, 'temp_max': 286.15}",,Yellowknife,,,"{'type': 1, 'id': 1007, 'message': 0.0068, 'country': 'CA', 'sunrise': 1562233922, 'sunset': 1562304686}",-21600.0,24140.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 4.6, 'deg': 50}"
stations,{'all': 0},200,"{'lon': 26.89, 'lat': -33.59}",1562253019.0,964432.0,"{'temp': 288.15, 'pressure': 1015, 'humidity': 85, 'temp_min': 288.15, 'temp_max': 288.15}",,Port Alfred,,,"{'type': 3, 'id': 2011314, 'message': 0.0068, 'country': 'ZA', 'sunrise': 1562217437, 'sunset': 1562253354}",7200.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 0.92, 'deg': 184.883}"
stations,{'all': 75},200,"{'lon': 74.49, 'lat': 15.34}",1562253019.0,1273574.0,"{'temp': 296.15, 'pressure': 1010, 'humidity': 94, 'temp_min': 296.15, 'temp_max': 296.15}",,Vaini,,,"{'type': 1, 'id': 9229, 'message': 0.0075, 'country': 'IN', 'sunrise': 1562200546, 'sunset': 1562247395}",19800.0,4000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 3.1, 'deg': 270}"
stations,{'all': 100},200,"{'lon': 102.82, 'lat': 24.19}",1562253019.0,1787599.0,"{'temp': 289.539, 'pressure': 1006.9, 'humidity': 97, 'temp_min': 289.539, 'temp_max': 289.539, 'sea_level': 1006.9, 'grnd_level': 794.59}",,Xingyi,{'3h': 0.25},,"{'message': 0.0086, 'country': 'CN', 'sunrise': 1562192700, 'sunset': 1562241641}",28800.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 1.99, 'deg': 51.444}"
stations,{'all': 20},200,"{'lon': -37.64, 'lat': 65.61}",1562253019.0,3424607.0,"{'temp': 285.15, 'pressure': 1021, 'humidity': 62, 'temp_min': 285.15, 'temp_max': 285.15}",,Tasiilaq,,,"{'type': 1, 'id': 81, 'message': 0.0075, 'country': 'GL', 'sunrise': 1562211097, 'sunset': 1562290672}",-7200.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 6.7, 'deg': 80}"
stations,{'all': 75},200,"{'lon': -70.91, 'lat': -53.16}",1562253019.0,3874787.0,"{'temp': 271.11, 'pressure': 1018, 'humidity': 92, 'temp_min': 270.15, 'temp_max': 272.15}",,Punta Arenas,,,"{'type': 1, 'id': 8487, 'message': 0.007, 'country': 'CL', 'sunrise': 1562245068, 'sunset': 1562272673}",-10800.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 3.1, 'deg': 300}"
,,404,,,,,city not found,,,,,,,,
stations,{'all': 97},200,"{'lon': 48.75, 'lat': -14.54}",1562253019.0,1068670.0,"{'temp': 291.039, 'pressure': 1016.06, 'humidity': 81, 'temp_min': 291.039, 'temp_max': 291.039, 'sea_level': 1016.06, 'grnd_level': 892.45}",,Bealanana,,,"{'message': 0.0067, 'country': 'MG', 'sunrise': 1562209834, 'sunset': 1562250463}",10800.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.18, 'deg': 126.733}"
stations,{'all': 0},200,"{'lon': 138.6, 'lat': -33.21}",1562253020.0,2069194.0,"{'temp': 282.439, 'pressure': 1029.88, 'humidity': 79, 'temp_min': 282.439, 'temp_max': 282.439, 'sea_level': 1029.88, 'grnd_level': 992.11}",,Jamestown,,,"{'message': 0.0076, 'country': 'AU', 'sunrise': 1562276967, 'sunset': 1562313018}",34200.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.74, 'deg': 66.916}"
stations,{'all': 100},200,"{'lon': 153.71, 'lat': 67.46}",1562253020.0,2121025.0,"{'temp': 282.839, 'pressure': 1007.39, 'humidity': 80, 'temp_min': 282.839, 'temp_max': 282.839, 'sea_level': 1007.39, 'grnd_level': 1003.46}",,Srednekolymsk,{'3h': 0.625},,"{'message': 0.0071, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",39600.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 4.4, 'deg': 64.589}"
,,404,,,,,city not found,,,,,,,,
stations,{'all': 100},200,"{'lon': 149.07, 'lat': -23.58}",1562253020.0,2175403.0,"{'temp': 288.139, 'pressure': 1022.65, 'humidity': 88, 'temp_min': 288.139, 'temp_max': 288.139, 'sea_level': 1022.65, 'grnd_level': 1002.45}",,Bluff,{'3h': 1.25},,"{'message': 0.0078, 'country': 'AU', 'sunrise': 1562273183, 'sunset': 1562311775}",36000.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 4.66, 'deg': 125.925}"
stations,{'all': 45},200,"{'lon': 168.86, 'lat': -46.19}",1562253020.0,6201424.0,"{'temp': 278.939, 'pressure': 1030.23, 'humidity': 86, 'temp_min': 278.939, 'temp_max': 278.939, 'sea_level': 1030.23, 'grnd_level': 1028.46}",,Mataura,,,"{'message': 0.0082, 'country': 'NZ', 'sunrise': 1562272038, 'sunset': 1562303419}",43200.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 1.62, 'deg': 227.886}"
stations,{'all': 40},200,"{'lon': 134.5, 'lat': 33.93}",1562253020.0,1865309.0,"{'temp': 295.47, 'pressure': 1005, 'humidity': 88, 'temp_min': 294.82, 'temp_max': 296.15}",,Katsuura,,,"{'type': 1, 'id': 8027, 'message': 0.0087, 'country': 'JP', 'sunrise': 1562270152, 'sunset': 1562321800}",32400.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 3.1, 'deg': 40}"
stations,{'all': 85},200,"{'lon': -170.99, 'lat': 65.58}",1562252832.0,4031637.0,"{'temp': 281.639, 'pressure': 1018.57, 'humidity': 88, 'temp_min': 281.639, 'temp_max': 281.639, 'sea_level': 1018.57, 'grnd_level': 979.17}",,Lavrentiya,,,"{'message': 0.0072, 'country': 'RU', 'sunrise': 1562329887, 'sunset': 1562408718}",43200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 3.85, 'deg': 194.575}"
stations,{'all': 40},200,"{'lon': -77.74, 'lat': 39.62}",1562253020.0,4372777.0,"{'temp': 302.78, 'pressure': 1018, 'humidity': 55, 'temp_min': 300.15, 'temp_max': 305.37}",,Vardo,,,"{'type': 1, 'id': 3841, 'message': 0.0144, 'country': 'US', 'sunrise': 1562233701, 'sunset': 1562287319}",-14400.0,16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 3.1, 'deg': 130}"
,,404,,,,,city not found,,,,,,,,
stations,{'all': 100},200,"{'lon': 20.04, 'lat': -34.53}",1562253021.0,1015776.0,"{'temp': 293.79, 'pressure': 1017, 'humidity': 43, 'temp_min': 292.59, 'temp_max': 295.15}",,Bredasdorp,,,"{'type': 1, 'id': 1966, 'message': 0.0085, 'country': 'ZA', 'sunrise': 1562219222, 'sunset': 1562254857}",7200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 7.7, 'deg': 350}"
stations,{'all': 8},200,"{'lon': 51.17, 'lat': 53.29}",1562253021.0,540740.0,"{'temp': 293.839, 'pressure': 1006.63, 'humidity': 65, 'temp_min': 293.839, 'temp_max': 293.839, 'sea_level': 1006.63, 'grnd_level': 992.9}",,Krotovka,,,"{'message': 0.0057, 'country': 'RU', 'sunrise': 1562199236, 'sunset': 1562259900}",14400.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.2, 'deg': 287.431}"
stations,{'all': 99},200,"{'lon': 156.12, 'lat': 50.68}",1562253021.0,2121385.0,"{'temp': 278.839, 'pressure': 1013.86, 'humidity': 97, 'temp_min': 278.839, 'temp_max': 278.839, 'sea_level': 1013.86, 'grnd_level': 1014.16}",,Severo-Kurilsk,{'3h': 0.25},,"{'message': 0.0076, 'country': 'RU', 'sunrise': 1562261354, 'sunset': 1562320220}",39600.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 4.61, 'deg': 120.428}"
stations,{'all': 75},200,"{'lon': -27.07, 'lat': 38.73}",1562253021.0,3372760.0,"{'temp': 294.48, 'pressure': 1024, 'humidity': 73, 'temp_min': 294.15, 'temp_max': 294.82}",,Praia da Vitoria,,,"{'type': 1, 'id': 6895, 'message': 0.0077, 'country': 'PT', 'sunrise': 1562221700, 'sunset': 1562274995}",0.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 3.47, 'deg': 16.445}"
stations,{'all': 100},200,"{'lon': 122.14, 'lat': 10.59}",1562253021.0,1689597.0,"{'temp': 296.839, 'pressure': 1011.9, 'humidity': 93, 'temp_min': 296.839, 'temp_max': 296.839, 'sea_level': 1011.9, 'grnd_level': 1000.59}",,San Joaquin,,,"{'message': 0.0055, 'country': 'PH', 'sunrise': 1562189623, 'sunset': 1562235442}",28800.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.56, 'deg': 347.877}"
stations,{'all': 96},200,"{'lon': 129, 'lat': -3.31}",1562253021.0,1651591.0,"{'temp': 299.82, 'pressure': 1014, 'humidity': 93, 'temp_min': 299.82, 'temp_max': 299.82}",,Amahai,{'3h': 0.25},,"{'type': 3, 'id': 2011674, 'message': 0.0064, 'country': 'ID', 'sunrise': 1562275815, 'sunset': 1562318778}",32400.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 4.35, 'deg': 104.675}"
stations,{'all': 3},200,"{'lon': 109.78, 'lat': 52.16}",1562253022.0,2022304.0,"{'temp': 284.439, 'pressure': 1010.1, 'humidity': 70, 'temp_min': 284.439, 'temp_max': 284.439, 'sea_level': 1010.1, 'grnd_level': 886.3}",,Khorinsk,,,"{'message': 0.0059, 'country': 'RU', 'sunrise': 1562185557, 'sunset': 1562245442}",28800.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 0.8, 'deg': 41.705}"
stations,{'all': 40},200,"{'lon': 147.06, 'lat': -42.78}",1562253022.0,2155415.0,"{'temp': 277.4, 'pressure': 1041, 'humidity': 93, 'temp_min': 275.93, 'temp_max': 278.71}",,New Norfolk,,,"{'type': 1, 'id': 9545, 'message': 0.0083, 'country': 'AU', 'sunrise': 1562276551, 'sunset': 1562309372}",36000.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 3.1, 'deg': 330}"
